Date ,Time ,Open ,High,Low ,Close ,Volume
2022.06.27,16:00,0.86222,0.86265,0.86043,0.86209,24473
2022.06.27,20:00,0.86208,0.8627,0.86169,0.86263,12408
2022.06.28,0:00,0.86262,0.86283,0.86155,0.86172,4455
2022.06.28,4:00,0.86171,0.86224,0.86152,0.86198,8772
2022.06.28,8:00,0.86197,0.86394,0.8611,0.86216,20467
2022.06.28,12:00,0.86214,0.86452,0.86205,0.86271,21525
2022.06.28,16:00,0.86268,0.86372,0.86099,0.86288,30012
2022.06.28,20:00,0.86286,0.86385,0.86267,0.86325,12461
2022.06.29,0:00,0.86323,0.86378,0.86265,0.86277,9537
2022.06.29,4:00,0.86278,0.86291,0.8603,0.86111,9882
2022.06.29,8:00,0.86112,0.86324,0.86022,0.8632,20240
2022.06.29,12:00,0.86321,0.86606,0.86284,0.86559,23393
2022.06.29,16:00,0.8656,0.86564,0.86131,0.86161,31133
2022.06.29,20:00,0.86163,0.86178,0.8609,0.86129,11969
2022.06.30,0:00,0.86128,0.86162,0.86058,0.86095,6791
2022.06.30,4:00,0.86096,0.86189,0.86091,0.86158,9179
2022.06.30,8:00,0.86159,0.8619,0.85853,0.85977,21053
2022.06.30,12:00,0.85978,0.86005,0.85715,0.85759,23730
2022.06.30,16:00,0.8576,0.8612,0.85497,0.86069,32685
2022.06.30,20:00,0.8607,0.86136,0.85983,0.86074,14929
2022.07.01,0:00,0.86057,0.86159,0.86047,0.86147,5579
2022.07.01,4:00,0.86148,0.86268,0.86115,0.86245,11607
2022.07.01,8:00,0.86246,0.86424,0.86119,0.86424,20923
2022.07.01,12:00,0.86426,0.86775,0.86358,0.86658,24434
2022.07.01,16:00,0.86657,0.86691,0.86265,0.86338,32479
2022.07.01,20:00,0.86337,0.86337,0.86127,0.86198,10749
2022.07.04,0:00,0.86129,0.86239,0.86052,0.86174,7012
2022.07.04,4:00,0.86176,0.86261,0.86176,0.86213,9301
2022.07.04,8:00,0.86214,0.86221,0.86017,0.8609,14367
2022.07.04,12:00,0.86091,0.86204,0.8594,0.85983,15243
2022.07.04,16:00,0.85982,0.86167,0.85952,0.86051,16242
2022.07.04,20:00,0.8605,0.86139,0.86041,0.86066,5108
2022.07.05,0:00,0.86058,0.86164,0.86058,0.86134,6783
2022.07.05,4:00,0.86135,0.8619,0.86073,0.86158,8439
2022.07.05,8:00,0.86159,0.86224,0.85447,0.85569,21985
2022.07.05,12:00,0.85571,0.8601,0.85423,0.85978,27564
2022.07.05,16:00,0.8598,0.86086,0.85724,0.85907,34632
2022.07.05,20:00,0.85908,0.85975,0.8582,0.85842,15216
2022.07.06,0:00,0.85956,0.8596,0.85785,0.85791,6518
2022.07.06,4:00,0.85792,0.85846,0.85748,0.85842,10026
2022.07.06,8:00,0.85841,0.86018,0.85575,0.85645,23901
2022.07.06,12:00,0.85646,0.85733,0.8548,0.85613,30157
2022.07.06,16:00,0.85614,0.85628,0.85364,0.85406,36923
2022.07.06,20:00,0.85405,0.85439,0.85316,0.8539,21124
2022.07.07,0:00,0.85393,0.85473,0.85359,0.85406,6803
2022.07.07,4:00,0.85404,0.85461,0.85357,0.85371,10712
2022.07.07,8:00,0.85368,0.85529,0.85116,0.85194,21954
2022.07.07,12:00,0.85191,0.85223,0.84907,0.84998,26952
2022.07.07,16:00,0.84999,0.85092,0.84552,0.84558,31338
2022.07.07,20:00,0.84557,0.84597,0.84438,0.84493,10380
2022.07.08,0:00,0.84498,0.84586,0.84456,0.84524,5894
2022.07.08,4:00,0.84525,0.8457,0.84414,0.84508,11676
2022.07.08,8:00,0.84509,0.84744,0.84397,0.84727,20661
2022.07.08,12:00,0.84728,0.84739,0.84435,0.84608,25646
2022.07.08,16:00,0.84607,0.84729,0.84494,0.8458,27567
2022.07.08,20:00,0.84579,0.8467,0.84534,0.84608,8763
